        FAIL [   0.505s] gix-refspec::refspec match_group::multiple::fetch_and_update_head_to_head_never_updates_actual_head_ref
        FAIL [   0.161s] gix-refspec::refspec match_group::multiple::fetch_and_update_head_with_empty_rhs
        FAIL [   0.138s] gix-refspec::refspec match_group::multiple::fetch_and_update_multiple_destinations
        FAIL [   0.122s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_conflicts
        FAIL [   0.143s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_empty_lhs
        FAIL [   0.123s] gix-refspec::refspec match_group::multiple::fetch_and_update_with_fixes
        FAIL [   0.124s] gix-refspec::refspec match_group::multiple::fetch_only
        FAIL [   0.146s] gix-refspec::refspec match_group::single::fetch_and_update
        FAIL [   0.157s] gix-refspec::refspec match_group::single::fetch_only
        FAIL [   0.984s] gix-refspec::refspec parse::baseline
        FAIL [   0.643s] gix-revision::revision describe::fallback_if_configured_in_options_but_no_candidate_or_names
        FAIL [   1.587s] gix-revision::revision merge_base::baseline::validate
        FAIL [   0.260s] gix-status-tests::worktree stack::intermediate_directories_have_to_exist_or_not_found_error
        FAIL [   0.278s] gix-status-tests::worktree stack::leaf_file_does_not_have_to_exist
        FAIL [   0.228s] gix-status-tests::worktree stack::paths_leading_through_symlinks_are_rejected
        FAIL [   0.007s] gix-status-tests::worktree stack::paths_not_going_through_symlink_directories_are_ok_and_point_to_correct_item
        FAIL [   0.391s] gix-status-tests::worktree status::index_as_worktree::conflict
        FAIL [   0.546s] gix-status-tests::worktree status::index_as_worktree::conflict_both_added_and_deleted_by_them
        FAIL [   0.218s] gix-status-tests::worktree status::index_as_worktree::intent_to_add
        FAIL [   0.180s] gix-status-tests::worktree status::index_as_worktree::modified
        FAIL [   0.252s] gix-status-tests::worktree status::index_as_worktree::racy_git
        FAIL [   0.488s] gix-status-tests::worktree status::index_as_worktree::refresh
        FAIL [   0.289s] gix-status-tests::worktree status::index_as_worktree::removed
        FAIL [   0.866s] gix-status-tests::worktree status::index_as_worktree::submodule_conflict
        FAIL [   0.266s] gix-status-tests::worktree status::index_as_worktree::unchanged
        FAIL [   0.423s] gix-status-tests::worktree status::index_as_worktree_with_renames::changed_and_untracked
        FAIL [   3.292s] gix-submodule::submodule file::baseline::common_values_and_names_by_path
        FAIL [   0.919s] gix-traverse-tests::test commit::simple::adjusted_dates::date_order_with_cutoff_is_applied_to_starting_position
        FAIL [   1.492s] gix-traverse-tests::test commit::simple::different_date::head_breadth_first
        FAIL [   0.456s] gix-traverse-tests::test commit::simple::same_date::c4_breadth_first
        FAIL [   0.690s] gix-traverse-tests::test commit::topo::basic::empty_range
        FAIL [   0.416s] gix-traverse-tests::test tree::breadth_first_full_path
        FAIL [   0.881s] gix-url::baseline run
        FAIL [   0.652s] gix-worktree-state-tests::worktree state::checkout::accidental_writes_through_symlinks_are_prevented_if_overwriting_is_forbidden
        FAIL [   0.651s] gix-worktree-state-tests::worktree state::checkout::allow_or_disallow_symlinks
        FAIL [   0.647s] gix-worktree-state-tests::worktree state::checkout::collisions_are_detected_on_a_case_insensitive_filesystem_even_with_delayed_filters
        FAIL [   0.648s] gix-worktree-state-tests::worktree state::checkout::dangling_symlinks_can_be_created
        FAIL [   0.155s] gix-worktree-state-tests::worktree state::checkout::delayed_driver_process
        FAIL [   0.183s] gix-worktree-state-tests::worktree state::checkout::keep_going_collects_results
        FAIL [   0.155s] gix-worktree-state-tests::worktree state::checkout::no_case_related_collisions_on_case_sensitive_filesystem
        FAIL [   0.154s] gix-worktree-state-tests::worktree state::checkout::overwriting_files_and_lone_directories_works
        FAIL [   0.154s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotdot_trees
        FAIL [   0.198s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotgit_ntfs_stream
        FAIL [   0.154s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotgit_trees
        FAIL [   0.172s] gix-worktree-state-tests::worktree state::checkout::submodules_are_instantiated_as_directories
        FAIL [   0.156s] gix-worktree-state-tests::worktree state::checkout::symlinks_become_files_if_disabled
        FAIL [   0.158s] gix-worktree-state-tests::worktree state::checkout::symlinks_to_directories_are_usable
        FAIL [   0.154s] gix-worktree-state-tests::worktree state::checkout::writes_through_symlinks_are_prevented_even_if_overwriting_is_allowed
        FAIL [   0.384s] gix-worktree-stream::stream from_tree::can_drop_entry_without_reading_it
        FAIL [   0.306s] gix-worktree-stream::stream from_tree::can_receive_err_if_attribute_not_found
        FAIL [   0.329s] gix-worktree-stream::stream from_tree::will_provide_all_information_and_respect_export_ignore
        FAIL [   0.564s] gix-worktree-tests::integrate worktree::stack::attributes::baseline
        FAIL [   0.302s] gix-worktree-tests::integrate worktree::stack::ignore::check_against_baseline
        FAIL [   0.299s] gix-worktree-tests::integrate worktree::stack::ignore::exclude_by_dir_is_handled_just_like_git
        FAIL [   0.474s] gix::gix clone::blocking_io::fetch_and_checkout
        FAIL [   0.469s] gix::gix clone::blocking_io::fetch_and_checkout_empty_remote_repo
        FAIL [   0.466s] gix::gix clone::blocking_io::fetch_and_checkout_specific_annotated_tag
        FAIL [   0.458s] gix::gix clone::blocking_io::fetch_and_checkout_specific_non_existing
        FAIL [   0.435s] gix::gix clone::blocking_io::fetch_and_checkout_specific_ref
        FAIL [   0.396s] gix::gix clone::blocking_io::fetch_only_with_configuration
        FAIL [   0.310s] gix::gix clone::blocking_io::fetch_only_without_configuration
        FAIL [   0.223s] gix::gix clone::blocking_io::fetch_shallow_no_checkout_then_unshallow
        FAIL [   0.171s] gix::gix clone::blocking_io::fetch_succeeds_despite_remote_head_ref
        FAIL [   0.178s] gix::gix clone::blocking_io::from_non_shallow_by_deepen_exclude_then_deepen_to_unshallow
        FAIL [   0.197s] gix::gix clone::blocking_io::from_non_shallow_then_deepen_then_deepen_since_to_unshallow
        FAIL [   0.171s] gix::gix clone::blocking_io::from_shallow_allowed_by_default
        FAIL [   0.177s] gix::gix clone::blocking_io::from_shallow_prohibited_with_option
        FAIL [   0.173s] gix::gix clone::clone_and_destination_must_be_empty
        FAIL [   0.157s] gix::gix clone::clone_and_early_persist_without_receive
        FAIL [   0.171s] gix::gix clone::clone_bare_into_empty_directory_and_early_drop
        FAIL [   0.167s] gix::gix clone::clone_into_empty_directory_and_early_drop
        FAIL [   0.191s] gix::gix commit::describe::lightweight_tags_are_sorted_lexicographically
        FAIL [   0.914s] gix::gix commit::describe::with_dirty_suffix::dirty_suffix_applies_automatically_if_dirty
        FAIL [   1.364s] gix::gix diff::resource_cache
        FAIL [   0.135s] gix::gix head::into_remote::detached_is_none
        FAIL [   0.141s] gix::gix head::into_remote::unborn_is_none
        FAIL [   0.204s] gix::gix head::peel::all_cases
        FAIL [   0.201s] gix::gix id::ancestors::all
        FAIL [   0.167s] gix::gix id::ancestors::pre_epoch
        FAIL [   0.186s] gix::gix id::display_and_debug
        FAIL [   0.148s] gix::gix object::tree::diff::track_rewrites::jj_realistic_directory_rename
        FAIL [   0.139s] gix::gix object::tree::diff::track_rewrites::jj_realistic_needs_to_be_more_clever
        FAIL [   0.159s] gix::gix object::tree::lookup_entry_by_path
        FAIL [   0.182s] gix::gix reference::find::and_follow
        FAIL [   0.143s] gix::gix reference::remote::dot_remote_behind_symbol
        FAIL [   0.176s] gix::gix reference::remote::not_configured
        FAIL [   0.150s] gix::gix reference::remote::push_defaults_to_fetch
        FAIL [   0.148s] gix::gix reference::remote::separate_push_and_fetch
        FAIL [   0.136s] gix::gix reference::remote::url_as_remote_name
        FAIL [   0.289s] gix::gix reference::remote_name
        FAIL [   0.131s] gix::gix remote::connect::blocking_io::protocol_allow::deny
        FAIL [   0.140s] gix::gix remote::connect::blocking_io::protocol_allow::user
        FAIL [   0.134s] gix::gix remote::fetch::blocking_and_async_io::collate_fetch_error
        FAIL [   0.666s] gix::gix remote::fetch::blocking_and_async_io::fetch_empty_pack
        FAIL [   0.883s] gix::gix remote::fetch::blocking_and_async_io::fetch_pack
