        FAIL [   0.092s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotgit_ntfs_stream
        FAIL [   0.089s] gix-worktree-state-tests::worktree state::checkout::safety_checks_dotgit_trees
        FAIL [   0.089s] gix-worktree-state-tests::worktree state::checkout::submodules_are_instantiated_as_directories
        FAIL [   0.075s] gix-worktree-state-tests::worktree state::checkout::symlinks_become_files_if_disabled
        FAIL [   0.084s] gix-worktree-state-tests::worktree state::checkout::symlinks_to_directories_are_usable
        FAIL [   0.082s] gix-worktree-state-tests::worktree state::checkout::writes_through_symlinks_are_prevented_even_if_overwriting_is_allowed
        FAIL [   0.085s] gix-worktree-stream::stream from_tree::can_drop_entry_without_reading_it
        FAIL [   0.081s] gix-worktree-stream::stream from_tree::can_receive_err_if_attribute_not_found
        FAIL [   0.074s] gix-worktree-stream::stream from_tree::will_provide_all_information_and_respect_export_ignore
        FAIL [   0.060s] gix-worktree-tests::integrate worktree::stack::attributes::baseline
        FAIL [   0.047s] gix-worktree-tests::integrate worktree::stack::ignore::check_against_baseline
        FAIL [   0.244s] gix::gix clone::blocking_io::fetch_and_checkout
        FAIL [   0.213s] gix::gix clone::blocking_io::fetch_and_checkout_specific_annotated_tag
        FAIL [   0.205s] gix::gix clone::blocking_io::fetch_and_checkout_specific_non_existing
        FAIL [   0.204s] gix::gix clone::blocking_io::fetch_and_checkout_specific_ref
        FAIL [   0.202s] gix::gix clone::blocking_io::fetch_only_with_configuration
        FAIL [   0.177s] gix::gix clone::blocking_io::fetch_only_without_configuration
        FAIL [   0.162s] gix::gix clone::blocking_io::fetch_shallow_no_checkout_then_unshallow
        FAIL [   0.207s] gix::gix clone::blocking_io::fetch_succeeds_despite_remote_head_ref
        FAIL [   0.205s] gix::gix clone::blocking_io::from_non_shallow_by_deepen_exclude_then_deepen_to_unshallow
        FAIL [   0.226s] gix::gix clone::blocking_io::from_non_shallow_then_deepen_then_deepen_since_to_unshallow
        FAIL [   0.222s] gix::gix clone::blocking_io::from_shallow_allowed_by_default
        FAIL [   0.222s] gix::gix clone::blocking_io::from_shallow_prohibited_with_option
        FAIL [   0.216s] gix::gix clone::clone_and_destination_must_be_empty
        FAIL [   0.201s] gix::gix clone::clone_and_early_persist_without_receive
        FAIL [   0.201s] gix::gix clone::clone_bare_into_empty_directory_and_early_drop
        FAIL [   0.172s] gix::gix clone::clone_into_empty_directory_and_early_drop
        FAIL [   0.236s] gix::gix head::into_remote::detached_is_none
        FAIL [   0.224s] gix::gix head::into_remote::unborn_is_none
        FAIL [   0.217s] gix::gix object::tree::diff::track_rewrites::jj_realistic_directory_rename
        FAIL [   0.225s] gix::gix object::tree::diff::track_rewrites::jj_realistic_needs_to_be_more_clever
        FAIL [   0.190s] gix::gix object::tree::lookup_entry_by_path
        FAIL [   0.199s] gix::gix reference::remote::dot_remote_behind_symbol
        FAIL [   0.201s] gix::gix reference::remote::not_configured
        FAIL [   0.212s] gix::gix reference::remote::push_defaults_to_fetch
        FAIL [   0.210s] gix::gix reference::remote::separate_push_and_fetch
        FAIL [   0.214s] gix::gix reference::remote::url_as_remote_name
        FAIL [   0.206s] gix::gix remote::connect::blocking_io::protocol_allow::deny
        FAIL [   0.191s] gix::gix remote::connect::blocking_io::protocol_allow::user
        FAIL [   0.193s] gix::gix remote::fetch::blocking_and_async_io::collate_fetch_error
        FAIL [   0.233s] gix::gix remote::fetch::blocking_and_async_io::fetch_empty_pack
        FAIL [   0.304s] gix::gix remote::fetch::blocking_and_async_io::fetch_pack
        FAIL [   0.644s] gix::gix remote::fetch::blocking_and_async_io::fetch_pack_without_local_destination
        FAIL [   0.500s] gix::gix remote::fetch::blocking_and_async_io::fetch_shallow_deepen_not_possible
        FAIL [   0.365s] gix::gix remote::fetch::blocking_and_async_io::fetch_shallow_deepen_zero_does_not_fail
        FAIL [   0.149s] gix::gix remote::fetch::blocking_and_async_io::fetch_with_alternates_adds_tips_from_alternates
        FAIL [   0.120s] gix::gix remote::fetch::blocking_and_async_io::fetch_with_multi_round_negotiation
        FAIL [   0.153s] gix::gix remote::ref_map::blocking_and_async_io::all
        FAIL [   0.168s] gix::gix remote::save::save_to::named_remotes_save_as_is
        FAIL [   0.194s] gix::gix repository::config::config_snapshot::credential_helpers::any_url_calls_global
        FAIL [   0.190s] gix::gix repository::config::config_snapshot::credential_helpers::case_sensitive_host_matching
        FAIL [   0.195s] gix::gix repository::config::config_snapshot::credential_helpers::empty_core_askpass_is_ignored
        FAIL [   0.191s] gix::gix repository::config::config_snapshot::credential_helpers::empty_helper_clears_helper_list
        FAIL [   0.189s] gix::gix repository::config::config_snapshot::credential_helpers::host_globs_match_as_well
        FAIL [   0.186s] gix::gix repository::config::config_snapshot::credential_helpers::http_port_defaulting
        FAIL [   0.184s] gix::gix repository::config::config_snapshot::credential_helpers::http_urls_match_the_host_without_path_as_well
        FAIL [   0.198s] gix::gix repository::config::config_snapshot::credential_helpers::https_urls_match_the_host_without_path_as_well
        FAIL [   0.200s] gix::gix repository::config::config_snapshot::credential_helpers::invalid_urls_are_rejected_early
        FAIL [   0.213s] gix::gix repository::config::config_snapshot::credential_helpers::ssh_host_and_port_with_path_via_url_match
        FAIL [   0.209s] gix::gix repository::config::config_snapshot::credential_helpers::ssh_host_with_path_via_url_match
        FAIL [   0.211s] gix::gix repository::config::config_snapshot::credential_helpers::subdomain_globs_match_on_their_level
        FAIL [   0.206s] gix::gix repository::config::config_snapshot::credential_helpers::user_rules_only_match_urls_with_user
        FAIL [   0.211s] gix::gix repository::config::identity::author_from_different_config_sections
        FAIL [   0.222s] gix::gix repository::config::remote::remote_and_branch_names
        FAIL [   0.210s] gix::gix repository::config::remote::remote_default_name
        FAIL [   0.132s] gix::gix repository::open::non_bare_split_worktree
